monster_name,category
Bandit Captain,Sign of Leadership
Bandit Captain,Ruthless Action
Cult Fanatic,Sign of Devotion
Cult Fanatic,Costume
Harpy,Physical Trait
Manticore,Physical Trait
Manticore,Background
Minotaur,Behaviour Quirk
Minotaur,Cursed Origin
Stone Golem,Origin
Tyrannosaurus Rex,Sign of Dinosaur
Tyrannosaurus Rex,Territory
Vetran,Combat History
Vetran,Reason for Leaving Military
Blink Dog,Behaviour Quirk
Blink Dog,Physical Trait
Wyvern,Marking or Pattern
Wyvern,Background
